INFO:2026-01-21 14:55:34,064: Epoch [1/500], Step [8200/35359], Mel Loss: 0.55120, Gen Loss: 10.08679, Disc Loss: 3.08727, Mono Loss: 0.03408, S2S Loss: 3.87687, SLM Loss: 2.27779
INFO:2026-01-21 14:56:19,234: Epoch [1/500], Step [8300/35359], Mel Loss: 0.55795, Gen Loss: 9.81896, Disc Loss: 3.64075, Mono Loss: 0.02507, S2S Loss: 3.75143, SLM Loss: 2.30878
INFO:2026-01-21 14:57:05,055: Epoch [1/500], Step [8400/35359], Mel Loss: 0.55386, Gen Loss: 9.62190, Disc Loss: 3.22624, Mono Loss: 0.01732, S2S Loss: 3.36226, SLM Loss: 2.42774
INFO:2026-01-21 14:57:49,805: Epoch [1/500], Step [8500/35359], Mel Loss: 0.55062, Gen Loss: 10.33657, Disc Loss: 3.47899, Mono Loss: 0.11560, S2S Loss: 3.94913, SLM Loss: 2.33877
INFO:2026-01-21 14:58:34,607: Epoch [1/500], Step [8600/35359], Mel Loss: 0.55106, Gen Loss: 10.00396, Disc Loss: 3.78342, Mono Loss: 0.09256, S2S Loss: 3.63622, SLM Loss: 2.41200
INFO:2026-01-21 14:59:19,218: Epoch [1/500], Step [8700/35359], Mel Loss: 0.56209, Gen Loss: 8.90549, Disc Loss: 3.55687, Mono Loss: 0.01212, S2S Loss: 3.54252, SLM Loss: 2.45588
INFO:2026-01-21 15:00:04,031: Epoch [1/500], Step [8800/35359], Mel Loss: 0.54455, Gen Loss: 16.27428, Disc Loss: 2.22805, Mono Loss: 0.03781, S2S Loss: 4.27472, SLM Loss: 2.41975
INFO:2026-01-21 15:00:47,887: Epoch [1/500], Step [8900/35359], Mel Loss: 0.55072, Gen Loss: 9.13852, Disc Loss: 3.49365, Mono Loss: 0.07318, S2S Loss: 3.30717, SLM Loss: 2.49802
INFO:2026-01-21 15:01:32,360: Epoch [1/500], Step [9000/35359], Mel Loss: 0.54296, Gen Loss: 12.97989, Disc Loss: 3.01659, Mono Loss: 0.06412, S2S Loss: 3.71056, SLM Loss: 2.40055
INFO:2026-01-21 15:02:17,013: Epoch [1/500], Step [9100/35359], Mel Loss: 0.54664, Gen Loss: 12.72902, Disc Loss: 2.75552, Mono Loss: 0.06409, S2S Loss: 3.39477, SLM Loss: 2.56047
INFO:2026-01-21 15:03:01,788: Epoch [1/500], Step [9200/35359], Mel Loss: 0.54639, Gen Loss: 9.50121, Disc Loss: 3.25711, Mono Loss: 0.02808, S2S Loss: 3.41829, SLM Loss: 2.34974
INFO:2026-01-21 15:03:46,831: Epoch [1/500], Step [9300/35359], Mel Loss: 0.52331, Gen Loss: 9.05826, Disc Loss: 3.64375, Mono Loss: 0.02681, S2S Loss: 3.99601, SLM Loss: 2.20611
INFO:2026-01-21 15:04:30,665: Epoch [1/500], Step [9400/35359], Mel Loss: 0.53303, Gen Loss: 8.18844, Disc Loss: 3.23712, Mono Loss: 0.09650, S2S Loss: 3.56923, SLM Loss: 2.23194
INFO:2026-01-21 15:05:15,447: Epoch [1/500], Step [9500/35359], Mel Loss: 0.53976, Gen Loss: 13.31743, Disc Loss: 2.66762, Mono Loss: 0.02012, S2S Loss: 3.52860, SLM Loss: 2.30726
